actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Sean Xiao,Wang Yi Bo,China,"Jun 27, 2019 - Aug  7, 2019",50,"Action,  Adventure,  Friendship,  Historical,  Mystery,  Wuxia,  Fantasy",Tencent Video,9.4,376,"Censored Romance, Strong Male Lead, Adapted From A Novel, Tragic Past, Playful Male Lead, Calm Second Male Lead, Secret, Smart Male Lead, Adapted From A Web Novel, Flashback To Past",The Untamed,12453,23671
Jo Seung Woo,Bae Doo Na,South Korea,"Jun 10, 2017 - Jul 30, 2017",16,"Thriller,  Mystery,  Crime,  Drama,  Investigation","tvN, Netflix, Netflix, Netflix, Netflix",8.9,70,"Cold Man, Alexithymia, Strong Female Lead, Smart Female Lead, Prosecutor, Corruption, Murder, Calm Male Lead, Antisocial Personality Disorder, Tragic Past",Stranger,9291,22606
Yang Mi,Mark Chao,China,"Jan 30, 2017 - Mar  1, 2017",58,"Adventure,  Historical,  Romance,  Wuxia,  Drama,  Fantasy,  War",ZJTV,9.0,184,"Male Chases Female First, Deity, Second Chance, Steamy Kiss, Fate, Xianxia, Strong Male Lead, Strong Female Lead, Adapted From A Novel, Amnesia",Eternal Love,10035,19733
Joo Ji Hoon,Ryu Seung Ryong,South Korea,"Mar 13, 2020",6,"Thriller,  Historical,  Horror,  Drama,  Zombies","Netflix, Netflix, Netflix, Netflix",9.0,22,"Outbreak, Corruption, Strong Female Lead, Smart Female Lead, Gore, Palace Politics, Greed, Death, Prince, Strong Male Lead",Kingdom: Season 2,6272,10315
Hyun Bin,Son Ye Jin,South Korea,"Dec 14, 2019 - Feb 16, 2020",16,"Military,  Comedy,  Romance,  Drama,  Political","tvN, Netflix, Netflix, Netflix, Netflix",9.0,211,"North And South Korea, Lovers From Different Countries, Strong Friendship, Army Officer, Strong Male Lead, Strong Female Lead, Fate, North Korean, Friendship, Rich Female Lead",Crash Landing on You,24132,39633
Ji Chang Wook,Park Min Young,South Korea,"Dec  8, 2014 - Feb 10, 2015",20,"Action,  Thriller,  Mystery,  Comedy,  Romance,  Drama",KBS2,9.0,272,"Double Identity, Hidden Identity, Strong Male Lead, Sassy Female Lead, Secret, Trauma, Badass Male Lead, Reporter, Hardworking Female Lead, Calm Male Lead",Healer,37837,65848
Lee Hye Ri,Go Kyung Pyo,South Korea,"Nov  6, 2015 - Jan 16, 2016",20,"Friendship,  Comedy,  Romance,  Life,  Youth,  Drama,  Family",tvN,9.0,128,"Slice Of Life, Neighbors, Childhood Friends, Multiple Couples, Love Triangle, Bromance, High School, Coming Of Age, Second Lead Syndrome, Best Friends",Reply 1988,16484,35222
Sawajiri Erika,Nishikido Ryo,Japan,"Oct 11, 2005 - Dec 20, 2005",11,"Romance,  School,  Drama,  Family,  Melodrama,  Tragedy",Fuji TV,9.0,95,"Based On True Story, Terminal Illness, Tearjerker, High School, Adapted From A Novel, Spinocerebellar Ataxia, Kito Aya, Kanjani 8",1 Litre no Namida,14575,26775
Alice Ke,Greg Hsu,Taiwan,"Nov 17, 2019 - Feb 16, 2020",13,"Mystery,  Comedy,  Romance,  Drama,  Fantasy","CTV, CTV",9.1,55,"Time Travel, Second Chance, Mental Illness, Parallel Dimension, Love Triangle, Youth, Heartbreak, Healing, Friendship, Rain",Someday or One Day,2132,6319
Yeom Jung Ah,Lee Tae Ran,South Korea,"Nov 23, 2018 - Feb  1, 2019",20,"Mystery,  Psychological,  School,  Drama,  Family",jTBC,9.1,59,"Multiple Mains, Social Commentary, Makjang, Medical, Social Satire, Female Centered Plot, Satire, Evil Parental Figure, Rich Kids, Mother-Daughter Relationship",SKY Castle,10052,22608
Zhang Ruo Yun,Li Qin,China,"Nov 26, 2019 - Jan  1, 2020",46,"Action,  Historical,  Comedy,  Romance,  Political","Tencent Video, iQiyi, iQiyi",9.1,65,"Strong Male Lead, Smart Male Lead, Time Travel, Scheme, Power Struggle, Martial Arts, Adapted From A Novel, Genius, Revenge, Mao Ni",Joy of Life,2220,6341
Nanon Korapat Kirdpan,Chimon Wachirawit Ruangwiwat,Thailand,"Aug  5, 2018 - Nov  4, 2018",13,"Thriller,  School,  Drama,  Supernatural,  Investigation",GMM One,9.1,45,"Super Powers, Multiple Mains, Special Power, Corruption, Adapted From A Novel, Child Abuse, Youth, Slight Romance, Genius, Mental Health",The Gifted,3001,7467
Lee Bo Young,Heo Yool,South Korea,"Jan 24, 2018 - Mar 15, 2018",16,"Suspense,  Psychological,  Life,  Drama,  Family,  Melodrama,  Investigation",tvN,9.1,38,"Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Tear Jerker, Adoption, Strong Female Lead, Child, Single Parent",Mother,4518,13804
Lee Je Hoon,Kim Hye Soo,South Korea,"Jan 22, 2016 - Mar 12, 2016",16,"Mystery,  Crime,  Drama,  Supernatural",tvN,9.1,118,"Different Timelines, Hwaseong Serial Murders, Criminal Profiler, Serial Killer, Detective, Murder, Time Altering, Corruption, Kidnapping, Investigation",Signal,16008,36332
Hu Ge,Tamia Liu,China,"Sep 19, 2015 - Oct 15, 2015",54,"Friendship,  Historical,  Wuxia,  Drama,  Political",BTV,9.1,91,"Smart Male Lead, Power Struggle, Scheme, Hidden Identity, Revenge, Political Intrigue, Adapted From A Novel, Female Warrior, Bromance, Sword-fight",Nirvana in Fire,4180,11742
Lee Sun Kyun,IU,South Korea,"Mar 21, 2018 - May 17, 2018",16,"Business,  Psychological,  Life,  Drama,  Family",tvN,9.1,121,"Nice Male Lead, Strong Female Lead, Healing, Hardship, Smart Female Lead, Workplace, Badass Female Lead, Infidelity, Depression, Cold Woman",My Mister,9034,23264
Sakai Masato,Ueto Aya,Japan,"Jul  7, 2013 - Sep 22, 2013",10,"Suspense,  Business,  Drama",TBS,8.8,8,"Adapted From A Novel, Ikeido Jun, Bank, Office Worker, Nikkan Daily Sports Drama GP, Hey! Say! Jump, Corruption, Revenge, Idol Actor",Hanzawa Naoki,1878,5390
Joo Won,Jin Se Yeon,South Korea,"May 30, 2012 - Sep  6, 2012",28,"Action,  Historical,  Romance,  Drama,  Tragedy,  Political,  Investigation",KBS2,8.7,92,"Japanese Colonial Rule, Hidden Identity, Revenge, Rebellion, Police, Murder, Love Triangle, Adapted From A Manhwa, Obsessive Second Lead, Possessive Male Lead",The Bridal Mask,9083,22120
Gong Hyo Jin,So Ji Sub,South Korea,"Aug  7, 2013 - Oct  3, 2013",17,"Horror,  Psychological,  Comedy,  Romance,  Drama,  Melodrama,  Supernatural",SBS,8.7,166,"Ghost, Ghost-seeing Female Lead, Arrogant Male Lead, Rich Male Lead, Clingy Female Lead, Trauma, Successful Male Lead, Obsession, Secondary Couple, Love Triangle",The Master's Sun,31983,52700
Suda Masaki,Nagano Mei,Japan,"Jan  6, 2019 - Mar 10, 2019",10,"Action,  Mystery,  Psychological,  School,  Drama",NTV,8.7,22,"High School, Life Lesson, School Bullying, Hostage, Teacher, Eccentric Male Lead, Student, Suicide, Slight Romance, Smart Male Lead","3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu",2085,4941
Yamashita Tomohisa,Aragaki Yui,Japan,"Jul 17, 2017 - Sep 18, 2017",10,"Drama,  Medical",Fuji TV,8.6,6,"Hey! Say! Jump, Nikkan Daily Sports Drama GP, Emergency Service, Doctor, Sismance, Idol Actor",Code Blue 3,1066,2396
Kuroki Haru,Odagiri Joe,Japan,"Apr 12, 2016 - Jun 14, 2016",10,"Business,  Comedy,  Life,  Drama",TBS,8.6,10,"Adapted From A Manga, Brief Nudity",Juhan Shuttai!,977,2606
Max Nattapol Diloknawarit,Tul Pakorn Thanasrivanitchai,Thailand,"Aug 24, 2017 - Oct  5, 2017",13,"Comedy,  Romance,  Life","LINE TV, LINE TV, LINE TV",8.5,69,"Gay Character, Gay Relationship, Steamy Kiss, Friends To Lovers, College Life, Childhood Friends, Teacher/student, Older Woman/Younger Man, Multiple Couples, LGBTQ+",Together with Me,8546,13860
Lee Seung Gi,Bae Suzy,South Korea,"Sep 20, 2019 - Nov 23, 2019",16,"Action,  Thriller,  Mystery,  Crime,  Melodrama","SBS, Netflix, Netflix, Netflix, Netflix",8.5,55,"National Intelligence Service, Corruption, Agent, Plane Crash, Death, Revenge, Death Of A Child, Spy, Terrorist, Stunt Man",Vagabond,10718,22953
Kim Nam Joo,Ji Jin Hee,South Korea,"Feb  2, 2018 - Mar 24, 2018",16,"Suspense,  Thriller,  Mystery,  Romance,  Melodrama,  Tragedy,  Investigation",jTBC,8.5,29,"Calm Female Lead, Strong Female Lead, Mature Protagonist, Married Couple, Smart Male Lead, Sad Romance, Infidelity, Misunderstanding, Murder, Cold Woman",Misty,2413,6664
Nishijima Hidetoshi,Uchino Seiyou,Japan,"Apr  5, 2019 - Jun 28, 2019",12,"Food,  Comedy,  Romance,  Life",TV Tokyo,8.6,7,"Adapted From A Manga, Gay Relationship, Lawyer, LGBTQ+, Slice Of Life, Social Commentary, Character Development, Gay Character",Kinou Nani Tabeta?,655,2293
Yang Mi,Ethan Juan,China,"Jun 18, 2018 - Aug 13, 2018",66,"Action,  Adventure,  Historical,  Romance,  Wuxia,  Martial Arts,  Fantasy,  Supernatural","Tencent Video, ZJTV",8.4,69,"Badass Female Lead, Strong Female Lead, Female Warrior, Female Lead Action Scenes, Badass Male Lead, Smart Male Lead, Hidden Identity, Male Chases Female First, Adapted From A Novel, Sassy Female Lead",Legend of Fu Yao,4316,10506
Seo Kang Joon,Gong Seung Yeon,South Korea,"Jun  4, 2018 - Aug  7, 2018",36,"Comedy,  Romance,  Drama,  Sci-Fi,  Fantasy",KBS2,8.4,97,"Artificial Intelligence, Nice Male Lead, Identity Swap, Hidden Identity, Interspecies Romance, Robot, Coma, Bodyguard, Smart Male Lead, Czech Republic",Are You Human Too?,14142,31616
Do Kyung Soo,Nam Ji Hyun,South Korea,"Sep 10, 2018 - Oct 30, 2018",16,"Historical,  Romance,  Drama",tvN,8.4,51,"Amnesia, Joseon Dynasty, Marriage Of Convenience, Prince, Hidden Identity, Strong Female Lead, Idol Actor, Fake Marriage, Hilarious Male Lead, Double Identity",100 Days My Prince,8182,18430
Yamazaki Kento,Kadowaki Mugi,Japan,"Jan  7, 2018 - Mar 11, 2018",10,"Suspense,  Friendship,  Mystery,  Comedy,  Romance,  Supernatural",NTV,8.4,36,"Time Travel, Mean Male Lead, Obsession, Host Club, Character Development, Black Comedy, Tragic Past, Death Of Sibling, Seduction, Obsessive Second Lead",Todome no Kiss,3569,9050
Saint Suppapong Udomkaewkanjana,Zee Pruk Panich,Thailand,"Jan 24, 2020 - Apr 24, 2020",13,"Friendship,  Romance,  Fantasy,  Melodrama,  Mature","GMM One, LINE TV, LINE TV, LINE TV",8.4,100,"LGBTQ+, Gay Character, Steamy Kiss, Gay Relationship, Hate To Love, Enemies To Lovers, Strong Chemistry, Sexual Content, Love–Hate Relationship, Multiple Couples",Why R U?,7493,12656
Tamia Liu,Rulu Jiang,China,"Apr 18, 2016 - May  9, 2016",42,"Friendship,  Romance,  Life,  Youth","Dragon TV, ZJTV",8.4,16,"Female Centered Plot, Sismance, Strong Female Characters, Hardworking Female Lead, Childish Female Lead, Smart Female Lead, Abusive Relationship, Rich Female Lead, Hardship, Workplace",Ode to Joy,1367,4605
Park Min Young,Yeon Woo Jin,South Korea,"May 31, 2017 - Aug  3, 2017",20,"Suspense,  Historical,  Psychological,  Romance,  Drama,  Melodrama,  Political",KBS2,8.4,23,"First Love, Joseon Dynasty, Love Triangle, Adapted From Folklore, Manipulative Character, Strong Male Lead, Sword-fight, Jealousy, Sibling Rivalry, Sibling",Queen for Seven Days,4096,11314
Lee Bum Soo,Jung Gyu Woon,South Korea,"Jan  2, 2012 - Mar 13, 2012",22,"Mystery,  Comedy,  Crime,  Drama,  Melodrama,  Political",SBS,8.4,16,"Female Antagonist, Heiress, Antihero, Rich Woman/Poor Man, Murder, Slight Romance, Sassy Female Lead, Older Man/Younger Woman, Hate To Love, Inheritance Theft",History of the Salaryman,1965,5803
Inoue Mao,Matsumoto Jun,Japan,"Oct 21, 2005 - Dec 16, 2005",9,"Comedy,  Romance,  School,  Youth,  Drama",TBS,8.3,56,"Adapted From A Manga, School Bullying, Arrogant Male Lead, High School, Male Chases Female First, Strong Female Lead, Reverse-Harem, Love Triangle, Heir, Rich Man/Poor Woman",Hana Yori Dango,22448,34330
Ikuta Toma,Yasuda Ken,Japan,"Oct 12, 2019 - Dec 14, 2019",10,"Comedy,  Life,  Family",NTV,8.4,5,"Neet, Jobless, Family Relationship, Slice Of Life, Sibling Rivalry, Eccentric Male Lead, Idol Actor",Ore no Hanashi wa Nagai,407,1328
Yoo Seung Ho,Park Sung Woong,South Korea,"Dec  9, 2015 - Feb 18, 2016",20,"Suspense,  Thriller,  Law,  Romance,  Crime,  Drama,  Melodrama,  Tragedy,  Investigation",SBS,8.3,29,"Revenge, Alzheimer's Disease, Lawyer, Photographic Memory, Hatred, Stoic Characters, Smart Protagonist, Flashback To Past, Judge, Competent Protagonist",Remember: War of the Son,8193,18946
Kim So Hyun,Nam Joo Hyuk,South Korea,"Apr 27, 2015 - Jun 16, 2015",16,"Friendship,  Mystery,  Romance,  School,  Youth,  Drama",KBS2,8.3,90,"Second Lead Syndrome, High School, School Problems, School Bullying, Amnesia, Weak Female Lead, Orphan, Love Triangle, Accident, Healing",Who Are You: School 2015,22895,40636
Tsuchiya Tao,Oizumi Yo,Japan,"Mar 30, 2015 - Sep 26, 2015",156,"Food,  Comedy,  Romance,  Life,  Drama,  Family",NHK,8.4,1,"Pottery, Master/Apprentice, Rural Village, High School To Working Life, Family Relationship, Baking, Morning Drama, Asadora, Dream, Male Chases Female First",Mare,351,1346
Petch Paopetch Charoensook,Pingpong Thongchai Thongkanthom,Thailand,"Jan 23, 2016 - Apr  9, 2016",12,"Friendship,  Comedy,  Romance",GMM 25,8.3,3,"Gay Character, LGBTQ+, Multiple Mains, Lesbian Character, Gay Relationship, Older Man/Younger Man, Flirty Female Lead, Flirty Male Lead, Writer",Diary of Tootsies,1477,3601
Wang Kai,Olivia Wang,China,"Oct 24, 2016 - Dec  5, 2016",21,"Thriller,  Mystery,  Romance,  Detective,  Investigation",Dragon TV,8.3,41,"Tough Male Lead, Criminal Profiler, Crime, Calm Male Lead, Intelligent Character, Police Officer, Calm Female Lead, Strong Male Lead, Smart Female Lead, Police",When a Snail Falls in Love,4991,10032
Kim Da Ye,Kim Young Dae,South Korea,"Jul 12, 2018 - Aug 16, 2018",12,"Friendship,  Comedy,  Romance,  Youth,  Drama",Naver TV Cast,8.3,5,"Female Centered Plot, Feminism, Strong Female Lead, Sismance, Naive Female Lead, Personal Growth, Web Series, College Life, Sexual Harassment, Calm Male Lead",It's Okay To Be Sensitive,756,2084
Sorimachi Takashi,Kabe Amon,Japan,"Apr 18, 2011 - Jun 28, 2011",11,Family,Fuji TV,8.4,2,"Tearjerker, Father-Son Relationship, Terminal Illness, Adapted From A Novel","Good Life - Arigatou, Papa. Sayonara",313,1187
Lee Seung Gi,Go Ah Ra,South Korea,"May  7, 2014 - Jul 17, 2014",20,"Action,  Friendship,  Mystery,  Comedy,  Romance,  Drama,  Melodrama,  Detective,  Investigation",SBS,8.2,52,"Mad Dog, Clumsy Female Lead, Death Of A Parent, Tragic Past, Childhood Acquaintance, Team Work, Police Procedural, Bromance, Murder, Older Woman/Younger Man",You're All Surrounded,14029,27344
Jang Hyuk,Gong Hyo Jin,South Korea,"Mar 21, 2007 - May 10, 2007",16,"Comedy,  Romance,  Drama,  Family,  Medical,  Melodrama",MBC,8.2,17,"AIDS, Single Parent, Child, Disease, Doctor, Alzheimer's Disease, Death Of Lover",Thank You,2042,4538
Chen Zhe Yuan,Hu Yi Tian,China,"Jan 16, 2020 - Feb  7, 2020",44,"Action,  Friendship,  Historical,  Comedy,  Romance,  Wuxia,  Drama,  Martial Arts","iQiyi, iQiyi, Netflix, Netflix, Netflix, Netflix",8.2,29,"Brothers, Separation At Birth, Playful Male Lead, Adapted From A Novel, Revenge, Enemies To Friends, Twins, Adopted Child, Con Artist, Cherry Blossom",Handsome Siblings,1322,4307
Noda Yojiro,Matsui Rena,Japan,"Apr 14, 2017 - Jun 30, 2017",12,"Suspense,  Mystery,  Romance,  Drama,  Mature","TV Tokyo, Netflix, Netflix, Netflix, Netflix",8.2,17,"Housemates, Murder, Adapted From A Manga, Writer, Sexual Content, Nudity, Harem, Celebrity, Strong Female Lead, Revenge",100-manen no Onna-tachi,2177,4052
Zhao Yi Qin,Li Jia Qi,China,"Jun 17, 2020 - Jul  9, 2020",24,"Business,  Comedy,  Romance,  Drama",Youku,8.2,27,"Dissociative Identity Disorder, Rich Male Lead, Lying, Office Romance, Makeup Artist, Traumatic Past, Secondary Couple, Accident, Fluffy, Sismance",My Girl,1456,4622
Li Xian,Zhang Ming En,China,"Jul 19, 2017 - Oct  3, 2017",24,"Mystery,  Horror,  Drama,  Supernatural,  Detective,  Investigation","iQiyi, iQiyi",8.3,11,"Chinese Republican Era, Adapted From A Novel, Shamanism, Psychic, Strong Female Lead, Bromance, Web Series",Tientsin Mystic,527,1932
,,South Korea,"Mar  9, 2017 - Apr  1, 2017",8,"Friendship,  Romance,  Life,  School,  Drama","Naver TV Cast, vLive",8.2,5,"Miniseries, Web Series, Multiple Mains, College Life, Unrequited Love, Older Woman/Younger Man, Male Chases Female First, Multiple Couples",Love Playlist,1914,4473
Bae Yong Joon,Lee Ji Ah,South Korea,"Sep 11, 2007 - Dec  5, 2007",24,"Historical,  Drama,  Fantasy,  War,  Political",MBC,8.2,9,"King, Magic, Goguryeo Dynasty, Reincarnation, Political Intrigue, Based On A Legend, Rivalry, Revenge, Love–Hate Relationship, Royalty",The Legend,1563,4403
Eguchi Yosuke,Fukuyama Masaharu,Japan,"Apr 12, 1993 - Jun 28, 1993",12,"Life,  Drama,  Family",Fuji TV,8.5,2,"Brother-Sister Relationship, Siblings Relationship, Death Of A Parent, Slice Of Life, Tearjerker, Adoption, Brothers, Disability, Romance",Under One Roof,123,406
Jang Hyuk,Lee Da Hae,South Korea,"Jan  6, 2010 - Mar 25, 2010",24,"Action,  Historical,  Romance,  Drama,  Tragedy",KBS2,8.1,18,"Joseon Dynasty, Master-slave, Love Triangle, Injustice, Historical Fiction, Wrongfully Accused, Weak Female Lead, Slave, Sword-fight, Revenge",Chuno,2595,6711
Abe Sadao,Ashida Mana,Japan,"Apr 24, 2011 - Jul  3, 2011",11,"Drama,  Family",Fuji TV,8.2,3,,Marumo no Okite,391,935
Betty Sun,Tamia Liu,China,"Nov 30, 2015 - Jan  9, 2016",81,"Action,  Historical,  Romance,  Political",Dragon TV,8.2,8,"Orphan Female Lead, Warring States Period, Female Rivalry, Reverse-Harem, Older Man/Younger Woman, Sisterhood, Strong Female Lead, Revenge, Harem, Adapted From A Novel",Legend of Mi Yue,399,1750
Jung Kyung Ho,Park Sung Woong,South Korea,"Jul 31, 2019 - Sep 19, 2019",16,"Music,  Comedy,  Drama,  Fantasy,  Melodrama,  Supernatural",tvN,8.1,11,"Hidden Identity, Actor, Bromance, Secret, Tragic Past, Trauma, Eccentric Male Lead, Evil Stepfather, Unfortunate Female Lead, Flashback To Past",When the Devil Calls Your Name,1817,6871
Wada Masato,Ogino Karin,Japan,"Apr  6, 2012 - Jun 29, 2012",13,"Tokusatsu,  Comedy,  Life,  Martial Arts,  Sci-Fi",TV Asahi,8.3,2,"Parody, Otaku, Super Sentai, Superhero",Hikonin Sentai Akibaranger,293,811
Ayase Haruka,Itagaki Mizuki,Japan,"Jan 21, 2017 - Mar 25, 2017",9,"Action,  Adventure,  Fantasy",NHK,8.3,1,,Seirei no Moribito II,216,673
Elvis Han,Gina Jin,China,"Jul  6, 2015 - Sep  7, 2015",20,"Adventure,  Historical,  Mystery,  Romance,  Wuxia,  Drama,  Supernatural",Sohu TV,8.1,10,"Interspecies Romance, Ghost-seeing Male Lead, Gore, Hidden Identity, Demon Hunting, Myth, Mythical Being, Star Crossed Lovers, Hidden Past, Skilled Killer",Wu Xin: The Monster Killer,736,2675
Sophie Zhang,Aarif Rahman,China,"May 15, 2019 - Jun 26, 2019",58,"Friendship,  Historical,  Romance,  Wuxia,  Drama,  Fantasy","iQiyi, Youku, iQiyi",8.1,36,"Amnesia, Arranged Marriage, Fake Identity, Betrayal, Reverse-Harem, Sword-fight, Sickness, Adapted From A Novel, Second Lead Syndrome, Strong Female Lead",Princess Silver,1407,4155
Alen Fang,Ling Mei Shi,China,"Oct 14, 2019 - Nov 13, 2019",36,"Historical,  Comedy,  Romance",Tencent Video,8.1,25,"Hypnosis, Steamy Kiss, Love Triangle, Sibling Rivalry, Love–Hate Relationship, Sleepwalking, Brothers, Revenge, Obsessive Second Lead, Competent Protagonist",The Love by Hypnotic,1596,3832
Sakurai Sho,Aoi Yu,Japan,"Oct 14, 2017 - Dec 16, 2017",10,"Comedy,  Life,  School,  Drama",NTV,8.2,3,"Slight Romance, Office Worker, Arashi, Teacher, High School, Idol Actor",Saki ni Umareta Dake no Boku,338,860
Kim Ji Min,Park Hyuk Kwon,South Korea,"Feb 20, 2017 - Jul  3, 2017",40,"Comedy,  Romance,  Life,  Family,  Sitcom",SBS,8.3,2,Neighbors,Super Family 2017,199,941
Oliver Chen,Peng Xiao Ran,China,"Feb 14, 2019 - Apr  4, 2019",55,"Historical,  Romance,  Drama,  Political",,8.5,3,"Jerk Male Lead, Scheme, Power Struggle, Tearjerker, Heartbreak, Princess, Prince, Sunset, Desert Landscape, Candle Night",Goodbye My Princess: Director's Cut,96,256
Sheren Tang,Wayne Lai,Hong Kong,"Apr 27, 2009 - May 29, 2009",25,"Historical,  Drama",TVB Jade ,8.2,2,"Taiping Rebellion, Qing Dynasty, Strong Female Lead, Harem",Rosy Business,254,511
Furutachi Kanji,Takito Kenichi,Japan,"Jan 10, 2020 - Mar 27, 2020",12,"Comedy,  Life",TV Tokyo,8.8,0,"Dysfunctional Family, Family Relationship, Slice Of Life, Serious Lead, Rental Oyaji, Clients, Various Issues, Pregnant Woman, Unemployed, Accident",Kotaki Kyodai to Shikuhakku,63,208
William Chan,Sandra Ma,China,"Sep 17, 2018 - Oct 12, 2018",47,"Action,  Friendship,  Thriller,  Business,  Romance,  Crime,  Drama,  Detective","Dragon TV, ZJTV, iQiyi, Youku, iQiyi",8.1,9,"Strong Female Lead, Strong Friendship, Strong Male Lead, Undercover Agent, Amnesia, Frenemy, Best Friends, Tragic Past, Deception, Family Secret",Age of Legends,594,2312
Kubota Masataka,Yamazaki Kento,Japan,"Jul  5, 2015 - Sep 13, 2015",11,"Thriller,  Mystery,  Psychological,  Supernatural,  Detective",NTV,8.0,11,"Hidden Identity, Death, Death Note, Smart Male Lead, Psychopath, Intelligent Character, God Of Death, Adapted From A Manga, Investigation, Murder",Death Note,3802,9119
Matsushige Yutaka,Hirota Léona,Japan,"Jul 10, 2013 - Sep 25, 2013",12,"Food,  Documentary",TV Tokyo,8.5,0,Adapted From A Manga,Kodoku no Gurume Season 3,93,203
Ayase Haruka,Yamada Takayuki,Japan,"Jul  2, 2004 - Sep 10, 2004",11,"Romance,  School,  Youth,  Drama,  Tragedy",TBS,8.0,3,"Terminal Illness, High School, Adapted From A Novel, Tearjerker","Sekai no Chuushin de, Ai wo Sakebu",663,2066
Ji Soo,Jung Chae Yeon,South Korea,"Apr 18, 2019",8,"Friendship,  Comedy,  Romance,  Youth,  Drama","Netflix, Netflix, Netflix, Netflix",8.0,36,"Childhood Friends, Best Friends, Nice Male Lead, Extreme Friendship, Secondary Couple, Strong Friendship, Bromance, Friends To Lovers, First Love, Funny Male Lead",My First First Love,10205,19365
Choi Jin Hyuk,Song  Ha Yoon,South Korea,"Sep  5, 2018 - Oct 25, 2018",16,"Business,  Comedy,  Romance,  Drama,  Family","DramaX, Viki",8.0,25,"Amnesia, Steamy Kiss, Rich Man/Poor Woman, Hardworking Female Lead, Love At First Sight, Innocent Female Lead, Character Development, Riches To Rags, Misunderstanding, Bromance",Devilish Joy,5541,13062
Takahata Mitsuki,Nishijima Hidetoshi,Japan,"Apr  4, 2016 - Oct  1, 2016",156,"Historical,  Business,  Life,  Drama,  Family",NHK,8.8,0,"Magazine, Morning Drama, Asadora",Toto nee-chan,57,500
Mitsushima Hikari,Kuroyanagi Tetsuko,Japan,"Apr 30, 2016 - Jun 18, 2016",7,"Historical,  Comedy,  Life,  Drama",NHK,8.2,6,"Kanjani 8, Showa Era, Biographical, Adapted From A Novel",Totto TV,143,354
James Ma,Kimberley Anne Woltemas,Thailand,"Apr 21, 2016 - Jun  9, 2016",15,"Romance,  Drama",Channel 3,8.0,5,"Rich Woman/Poor Man, Nice Male Lead, Spoiled Female Lead, Sweet Male Lead, Secondary Couple, Real Kisses, Family Relationship, Marriage Of Convenience, Strong Female Lead, Love–Hate Relationship",Piang Chai Khon Nee Mai Chai Poo Wised,870,1931
Ishibashi Ryo,Kaneko Nobuaki,Japan,"Apr 20, 2018 - Jul  6, 2018",12,"Action,  Crime,  Drama","TV Tokyo, Netflix, Netflix, Netflix, Netflix",8.1,2,"Muteness, Gang, Tragic Past, Gore, Murder, Hitman, Child Abuse, Yakuza, Revenge, Adapted From A Manga",Smoking,247,602
Sano Hayato,Iitoyo Marie,Japan,"Feb 20, 2020 - Apr  2, 2020",8,"Friendship,  Romance,  School,  Fantasy",AbemaTV,8.1,3,"Wish, Past Story, Classmate, Incident, Cherry Blossom, Flashback To Past, Love Confession, Nice Female Lead, Secret Crush, Best Friends",Boku Dake ga 17-sai no Sekai de,273,964
Matsushige Yutaka,Yamamura Michi,Japan,"Jan  4, 2012 - Mar 21, 2012",12,"Food,  Life",TV Tokyo,8.1,1,"Adapted From A Manga, Based On True Story",Kodoku no Gurume,215,540
Esther Supreeleela,Sean Jindachot,Thailand,"Mar  5, 2015 - Apr 16, 2015",12,"Romance,  Drama",GMM One,8.0,9,"Romanticised Abuse, Secondary Couple, Modeling, Real Kisses, Possessive Male Lead, Older Man/Younger Woman, Pretend Relationship, Slap And Kiss, Cohabitation, Contract Relationship",Leh Ratree,1687,3083
Oda Yuji,Nakajima Yuto,Japan,"Oct  8, 2018 - Dec 17, 2018",11,"Business,  Comedy,  Law,  Drama",Fuji TV,8.1,1,"Hey! Say! Jump, Law Firm, Chairwoman, Fake Identity, Ex-convict, Mnemonist, Wrongfully Accused, Minimal Romance, Fake Lawyer, Drug Dealer",Suits,245,824
Nakama Yukie,Abe Hiroshi,Japan,"Jul  7, 2000 - Sep 15, 2000",10,,TV Asahi,8.0,5,"Magician, Science, Black Comedy, Eccentric Male Lead",TRICK,897,1984
Vincent Wong,Sisley Choi,Hong Kong,"Jun 24, 2017 - Sep 17, 2017",28,"Action,  Friendship,  Law",TVB Jade ,8.1,0,"Deafness, Disability, Blindness, Terminal Illness, Transgender Character, Law",Legal Mavericks,173,428
Raymond Lam,Tina Tang,China,"Oct 30, 2017 - Dec 11, 2017",45,"Historical,  Romance,  Drama,  Political",Tencent Video,8.0,3,"Age Gap, Love Triangle, Huang Taiji, Concubine, Female Rivalry, Polygamy, Reverse-Harem, Power Struggle, Secret Relationship, Wedding",Rule the World,341,1447
Mimura Rie,Narimiya Hiroki,Japan,"Jul  3, 2005 - Sep 18, 2005",10,"Romance,  Drama",TBS,8.0,1,"Ichikawa Takuji, Adapted From A Novel, Child, Amnesia, Time Travel, Family, Tearjerker",Ima Ai ni Yukimasu,342,1104
Shinohara Ryoko,Kobayashi Satomi,Japan,"Apr 14, 2004 - Jun 23, 2004",11,"Life,  Family",NTV,8.4,1,"Tokio, Autism, Adapted From A Manga, Idol Actor",Hikari to Tomo ni... - Jiheishou-ji wo Kakaete,89,434
