actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Takezai Terunosuke,Izuka Kenta,Japan,"Jul 28, 2018 - Sep  1, 2018",6,"Psychological,  Romance,  Drama,  Mature",Fuji TV,7.7,17,"Writer, LGBTQ+, Sexual Content, Steamy Kiss, Gay Character, Age Gap, Gay Relationship, Older Man/Younger Man, Adapted From A Manga, Marukido Maki",Pornographer,2599,5269
Kim Nam Gil,Son Ye Jin,South Korea,"May 27, 2013 - Jul 30, 2013",20,"Thriller,  Romance,  Drama,  Melodrama,  Tragedy",KBS2,7.7,11,"Married Couple, Smart Male Lead, Antihero, Friends To Lovers, Revenge, Double Identity",Shark,2623,6430
Matsuoka Masahiro,Kuroshima Yuina,Japan,"Oct 16, 2019 - Dec 19, 2019",10,"Drama,  Fantasy",TV Tokyo,8.0,1,"Afterlife, Death, Adapted From A Manga",Shiyakusho,122,332
Takahashi Issei,Saito Takumi,Japan,"Apr 13, 2019 - Jun  8, 2019",8,"Friendship,  Romance,  Drama",TV Asahi,7.9,1,"Banker, Dentist, Lawyer",Tokyo Dokushin Danshi,149,414
Yoshioka Riho,Nagase Tomoya,Japan,"Jul  9, 2017 - Sep 17, 2017",10,"Romance,  Life,  Drama,  Family,  Melodrama,  Tragedy",TBS,7.8,4,"Tokio, Pianist, Sad Romance, Tearjerker, Piano, Mother-Son Relationship, Revenge, Poor Male Lead","Gomen, Aishiteru",471,1622
Zoey Meng,Sunny Wang,China,"Jan  1, 2020 - Feb  6, 2020",44,"Business,  Comedy,  Romance,  Drama","Hunan TV, Mango TV, Mango TV",7.9,3,"Shopaholic, Online Shopping, Perseverance, Bankruptcy, Workaholic, Overbearing CEO, Mail-to-order Shopping, Modern Day, Sassy Female Lead, London",Rebirth of Shopping Addict,157,778
Kim Yu An,Kim Kang Min,South Korea,"Sep 30, 2019 - Dec 19, 2019",24,"Comedy,  Romance,  School,  Youth","Naver TV Cast, vLive",7.8,2,"High School, Friendship, Web Series, Love Triangle, Break Up, Friends To Lovers, First Love",Like,357,840
Punpun Sutatta Udomsilp,Toni Rakkaen,Thailand,"Jan 25, 2019 - Apr 26, 2019",13,"Action,  Suspense,  Adventure,  Friendship,  Youth","GMM One, LINE TV, LINE TV, LINE TV",7.8,4,"Secret Mission, Multi-lingual, Multiple Mains, Father-Son Relationship, Game, Filmed Abroad",Wolf,384,1572
Fukuhara Haruka,Shiraishi Shunya,Japan,"Sep 22, 2017",10,"Comedy,  Romance,  School","Fuji TV, Netflix, Netflix, Netflix, Netflix",7.7,28,"Cold Male Lead, Playboy Male Lead, College Life, Character Development, Love–Hate Relationship, Love Triangle, Bromance",Good Morning Call: Our Campus Days,5288,8805
Jiao Jun Yan,Wei Da Xun,China,"Jul  2, 2018 - Aug  1, 2018",40,"Suspense,  Friendship,  Mystery,  Romance,  Crime,  Drama,  Detective,  Investigation",Tencent Video,7.9,0,"Strong Female Lead, Policeman, Jiao Jun Yan, Wei Da Xun, Crime Solving Duo, Policewoman, Smart Female Lead, Forensic, Forensics, Crime Solving",Caught In The Heartbeat,202,1012
Zhang Ruo Yun,Gabrielle Guan,China,"Jul 20, 2016 - Aug 24, 2016",28,"Historical,  Romance,  Wuxia,  Fantasy,  Tragedy",JSTV,7.8,20,"Alternate Ending, Winged Species, Interspecies Romance, Enemies To Lovers, Love Triangle, Myth, Star Crossed Lovers, Power Struggle, Fantasy World, Xianxia",Novoland: The Castle in the Sky,1784,4722
Yamada Takayuki,Katase  Nana,Japan,"Oct 12, 2010 - Dec 14, 2010",9,"Crime,  Life,  Drama",TBS,7.9,0,"Miniseries, Adapted From A Manga",Yamikin Ushijima-kun,141,359
Shin Gi Hwan,Jung Ha Joon,South Korea,"Oct 24, 2018 - Nov 14, 2018",7,"Friendship,  Comedy,  Romance,  Drama","Naver TV Cast, vLive",7.8,4,"Multiple Mains, Miniseries, High School, Web Series, Multiple Couples",Want More 19,763,1521
Tsumabuki Satoshi,Kitamura Kazuki,Japan,"Jan  4, 2009 - Nov 22, 2009",47,,NHK,8.1,1,"Taiga, Sengoku Period",Tenchijin,97,654
Zhang Ling Xin,Gao Ren,China,"May 29, 2018 - Jul  5, 2018",36,"Suspense,  Thriller,  Crime,  Detective,  Investigation",,8.5,0,Crime Solving,Talking Bones,41,326
Kamenashi Kazuya,Ayase Haruka,Japan,"Oct 14, 2006 - Dec 16, 2006",10,"Friendship,  Romance,  Drama",NTV,7.7,26,"Star Crossed Lovers, KAT-TUN, Single Parent, Brothers, Rich Woman/Poor Man, Sibling, Terminal Illness, Age Gap",Tatta Hitotsu no Koi,4507,8700
